matrix_name,n,k,nnz,tiempoCSR_ms,tiempoCOO_ms,tiempoEigen_ms
data/ssm/thermal2_thermal problem/thermal2_b.mtx,1228045,1,0,0.024573,0.024010,3.588856
data/ssm/west0655_chemical process simulation problem/west0655.mtx,655,655,2854,0.012899,0.011354,0.005319
data/ssm/bcsstk31_structural problem/bcsstk31.mtx,35588,35588,608502,0.040141,0.036864,27.293815
data/ssm/bayer10_chemical process simulation problem/bayer10.mtx,13436,13436,94926,0.014035,0.014163,0.102674
data/ssm/bayer10_chemical process simulation problem/bayer10_b.mtx,13436,1,0,0.003686,0.003472,0.001742
data/ssm/poli4_economic problem/poli4.mtx,33833,33833,73249,0.018051,0.015155,0.143181
data/ssm/poli3_economic problem/poli3.mtx,16955,16955,37849,0.014339,0.013146,0.087306
data/ssm/bcsstk18_structural problem/bcsstk18.mtx,11948,11948,80519,0.013450,0.012493,0.144640
data/ssm/west0479_chemical process simulation problem/west0479.mtx,479,479,1910,0.013040,0.011962,0.003872
data/ssm/bayer04_chemical process simulation problem/bayer04.mtx,20545,20545,159082,0.017018,0.017418,0.180418
data/ssm/bayer04_chemical process simulation problem/bayer04_b.mtx,20545,1,0,0.004710,0.004202,0.002474
data/ssm/bayer09_chemical process simulation problem/bayer09_b.mtx,3083,1,0,0.004435,0.004208,0.001141
data/ssm/bayer09_chemical process simulation problem/bayer09.mtx,3083,3083,21216,0.013107,0.011859,0.023381
data/ssm/bayer08_chemical process simulation problem/bayer08.mtx,3008,3008,27576,0.011904,0.011184,0.041822
